battery_power,talk_time,clock_speed,dual_sim,int_memory,nr_cores,ram,mobile_dep,mobile_wei,screen_height,screen_width,px_height,px_width,touch_screen,three_g,four_g,wifi,bluetooth,primary_cam,front_cam,price_range
1497,7,0.7,No,32,3,1329,0.7,92,6,1,1920,1933,Yes,Yes,No,No,Yes,9,5,2
1541,4,1.5,Yes,5,4,1795,0.5,109,7,3,536,1656,Yes,Yes,Yes,Yes,Yes,10,6,1
535,10,0.5,Yes,54,8,2674,0.5,145,14,8,710,939,No,Yes,Yes,No,Yes,15,8,2
1648,2,0.5,No,17,2,1184,0.9,142,6,2,1119,1238,No,Yes,Yes,Yes,Yes,3,1,1
1974,6,1,No,24,7,861,0.3,80,7,4,250,545,No,Yes,No,Yes,No,13,4,0
1447,8,2.5,Yes,9,8,568,0.2,155,12,11,737,1455,No,No,No,No,Yes,16,2,0
1168,17,1.3,No,61,8,3173,0.1,90,9,4,159,1578,No,No,No,Yes,No,10,9,3
1065,18,0.5,No,14,2,3078,0.7,89,10,1,188,928,No,Yes,Yes,Yes,Yes,2,0,2
630,12,2,No,14,8,1212,0.5,180,12,8,66,1448,No,Yes,Yes,No,No,13,9,0
1424,19,2.9,Yes,20,5,2658,0.6,180,15,0,181,1199,No,Yes,No,No,Yes,0,0,2
1878,2,0.5,No,29,8,1334,0.6,85,18,7,210,1026,No,No,No,No,Yes,19,9,1
665,15,0.7,No,31,5,690,0.1,185,5,2,496,1804,No,Yes,Yes,No,Yes,2,0,0
1117,14,0.6,Yes,31,2,2003,0.2,146,8,7,1258,1627,Yes,No,No,Yes,Yes,7,0,2
520,17,2.3,No,31,6,2753,0.8,145,13,7,264,519,No,Yes,Yes,Yes,No,14,0,1
1762,20,2.7,Yes,25,1,1896,0.9,189,14,10,300,527,Yes,Yes,Yes,Yes,Yes,14,13,1
576,8,0.8,No,27,2,1519,0.1,121,18,6,757,1518,No,Yes,Yes,Yes,No,4,0,1
1166,15,2,No,25,5,2488,0.8,198,13,5,59,1203,No,Yes,Yes,No,No,4,3,2
637,8,2.3,No,60,4,374,0.8,97,18,4,1125,1989,No,Yes,Yes,Yes,No,4,3,0
508,14,1.3,No,50,5,2175,0.7,82,14,4,102,1195,No,No,No,Yes,Yes,9,1,1
774,2,0.5,Yes,10,2,2944,0.5,188,8,6,1480,1731,Yes,Yes,Yes,Yes,No,9,2,2
541,15,1,No,10,4,1019,0.4,127,19,9,1836,1873,Yes,Yes,Yes,No,No,0,0,1
947,2,0.8,Yes,22,2,2842,0.1,197,16,12,1176,1220,No,Yes,Yes,No,No,13,0,2
551,19,2.8,No,54,7,1414,0.1,172,6,1,169,1916,No,Yes,Yes,Yes,Yes,15,0,0
1407,8,1.8,Yes,16,4,1068,0.2,170,6,0,925,1206,Yes,Yes,Yes,No,No,6,5,1
569,4,2.5,Yes,41,1,2651,0.3,124,17,7,388,605,No,No,No,No,Yes,1,0,1
1310,12,2.2,Yes,51,4,3845,0.6,100,7,0,178,1919,Yes,Yes,Yes,No,Yes,0,0,3
689,16,2.9,Yes,7,2,1241,0.8,147,9,0,487,722,No,Yes,Yes,No,No,6,3,0
1820,11,1.4,No,51,7,2481,0.9,163,11,9,202,1884,No,No,No,No,Yes,10,5,2
1741,7,0.5,No,55,5,2575,0.1,140,13,10,719,755,Yes,Yes,Yes,Yes,Yes,3,1,2
1898,19,1.8,Yes,56,7,2114,0.2,185,10,5,444,739,Yes,Yes,Yes,Yes,No,4,3,2
846,13,2.6,No,58,4,2248,0.1,123,16,8,1140,1983,No,Yes,Yes,No,Yes,15,0,2
1092,20,2.7,Yes,45,1,1303,0.8,185,12,3,1404,1424,Yes,No,No,Yes,No,10,8,1
1355,8,2.3,No,23,5,880,0.2,132,19,4,651,891,Yes,Yes,Yes,No,No,16,10,0
1641,17,1.1,No,48,8,1695,0.7,97,13,6,224,1994,No,Yes,No,Yes,No,7,6,2
1614,13,1.9,No,55,3,3914,0.3,188,17,13,860,1330,No,Yes,Yes,No,No,17,8,3
527,13,0.7,Yes,53,1,1302,0.9,128,13,7,67,1924,No,No,No,No,No,11,4,0
1763,13,0.5,Yes,10,3,792,0.2,184,17,12,238,1893,No,Yes,No,Yes,No,19,12,0
1853,8,0.5,Yes,27,6,1973,0.3,197,10,2,985,1005,No,Yes,No,Yes,No,13,1,2
1562,6,1.3,Yes,7,5,2243,0.2,190,12,10,642,1533,No,Yes,Yes,No,Yes,15,1,2
1296,10,1.4,Yes,11,7,2552,0.2,129,19,8,1222,1382,Yes,Yes,No,Yes,No,4,3,2
1227,12,1.1,Yes,34,3,1324,0.2,130,7,3,935,1781,Yes,No,No,Yes,Yes,3,0,1
880,7,1.7,Yes,33,2,1414,0.7,173,12,1,30,1350,Yes,Yes,No,No,Yes,2,0,0
1724,16,2,Yes,57,3,2822,0.5,177,19,3,1605,1924,Yes,Yes,Yes,No,No,5,2,3
768,7,0.5,Yes,19,2,1145,0.9,159,19,1,637,991,No,No,No,Yes,No,1,0,0
1161,14,1.3,Yes,21,8,3336,0.6,126,6,4,308,1169,No,Yes,Yes,Yes,No,12,0,3
518,8,0.8,Yes,3,7,2832,0.1,178,5,0,437,1947,No,Yes,No,Yes,No,1,0,2
701,17,0.7,No,15,3,1756,0.5,160,6,3,1002,1256,Yes,Yes,No,Yes,Yes,11,7,1
1512,11,0.6,Yes,54,3,3366,0.4,134,7,3,220,1838,No,Yes,Yes,Yes,No,2,1,3
1221,10,0.5,No,28,1,2438,0.5,139,13,11,1895,1976,Yes,Yes,Yes,Yes,No,7,1,3
1512,6,0.5,No,18,3,3607,0.1,88,12,10,1079,1897,Yes,Yes,Yes,Yes,Yes,17,8,3
733,2,2.1,No,7,7,1403,0.2,174,15,8,445,1409,Yes,Yes,Yes,No,No,10,5,0
1159,3,2.8,No,18,1,2246,0.5,83,8,1,681,723,Yes,Yes,Yes,No,Yes,7,5,1
1230,16,1.6,No,48,7,1622,0.7,111,18,17,1960,1963,Yes,Yes,Yes,Yes,Yes,2,0,2
1919,12,1.5,No,48,4,1391,0.8,150,19,13,304,1191,No,Yes,Yes,Yes,No,6,5,1
904,11,1.8,No,35,3,1360,0.4,168,15,12,42,507,No,Yes,Yes,No,No,4,3,0
1762,14,0.7,No,60,4,1380,0.1,157,14,5,643,790,No,Yes,No,No,No,10,7,1
1946,2,2.7,Yes,8,8,3117,0.3,123,6,0,647,1849,No,Yes,No,No,No,19,8,3
1170,2,2.9,Yes,40,6,2366,0.4,169,16,8,427,684,Yes,Yes,No,Yes,No,5,2,1
1751,17,0.5,Yes,8,6,2969,0.6,178,8,6,170,564,No,No,No,Yes,No,20,6,2
1205,20,2.7,No,10,6,953,0.1,163,18,11,321,1870,Yes,No,No,Yes,Yes,10,5,0
1319,3,0.9,No,41,1,2227,0.9,107,18,5,85,1152,Yes,Yes,Yes,Yes,Yes,18,3,1
879,11,1.5,Yes,21,4,2927,0.8,187,14,13,463,1038,No,Yes,Yes,Yes,No,2,0,2
1284,9,2.8,Yes,10,2,2197,0.9,155,16,2,160,516,Yes,No,No,Yes,Yes,14,0,1
972,19,1.7,No,54,3,1900,0.7,107,16,8,681,1050,No,Yes,Yes,Yes,Yes,4,0,1
740,19,1.8,No,12,1,1105,0.2,123,7,6,935,1147,Yes,No,No,Yes,No,11,1,0
1523,19,1.8,No,11,1,707,0.1,129,19,8,148,1606,Yes,Yes,Yes,No,Yes,8,6,0
1442,7,0.6,Yes,27,5,991,0.4,127,14,8,266,642,No,Yes,No,No,No,8,1,0
1163,15,2.1,Yes,19,2,2940,0.9,132,13,0,728,818,No,Yes,Yes,Yes,Yes,1,0,2
1063,5,1.1,No,26,5,3809,0.8,101,17,16,1208,1232,No,Yes,Yes,Yes,Yes,2,0,3
805,17,0.7,No,64,4,418,0.1,97,11,6,641,704,Yes,No,No,Yes,Yes,14,0,0
915,12,1.1,No,56,8,905,0.6,187,19,10,532,1448,Yes,No,No,No,No,17,6,0
1493,20,1.5,Yes,53,5,2083,0.5,102,19,15,240,1414,Yes,No,No,Yes,No,16,13,2
1777,7,3,No,20,6,3868,0.6,188,5,1,511,616,Yes,No,No,Yes,Yes,5,3,3
1488,19,0.5,No,39,5,3054,0.8,112,14,10,1528,1647,No,No,No,No,No,6,1,3
808,10,0.5,Yes,46,8,1082,0.5,105,15,5,119,529,No,Yes,No,Yes,Yes,15,3,0
1065,12,1.7,Yes,48,6,265,0.3,162,8,0,1188,1948,No,Yes,Yes,No,No,8,4,0
808,13,2.3,No,45,1,3431,0.8,161,15,6,526,1324,Yes,No,No,Yes,No,9,3,3
977,8,1.1,Yes,57,6,1206,0.6,181,7,1,63,566,Yes,No,No,Yes,Yes,7,2,0
911,13,2.2,Yes,28,2,2638,0.5,182,8,4,157,763,Yes,Yes,Yes,Yes,Yes,2,1,1
1647,15,1.4,Yes,38,6,2532,0.3,102,16,14,193,1185,No,Yes,Yes,Yes,No,15,3,2
914,5,0.9,No,4,2,808,0.8,100,11,7,191,1495,Yes,Yes,No,No,Yes,12,2,0
1485,11,0.9,Yes,28,5,3241,0.8,158,14,11,371,1023,Yes,Yes,Yes,No,Yes,1,0,3
959,8,1.3,Yes,36,5,3073,0.4,196,19,1,1313,1331,Yes,Yes,No,Yes,Yes,14,0,3
553,14,0.5,Yes,23,3,2981,0.5,119,7,3,993,1517,No,Yes,Yes,No,No,3,2,2
803,4,2.1,No,17,4,2680,1,198,7,1,344,1440,No,Yes,No,Yes,Yes,11,7,2
1483,19,2.6,Yes,19,7,1587,0.6,146,9,4,361,1552,No,No,No,No,Yes,19,13,1
1944,3,0.6,Yes,59,7,769,0.2,132,19,13,634,1079,No,Yes,Yes,Yes,No,10,9,0
1262,4,1.8,Yes,34,5,3248,0.1,149,13,3,223,737,Yes,No,No,Yes,No,16,12,2
1436,19,2.5,Yes,42,8,2736,0.9,124,12,5,1826,1836,Yes,Yes,Yes,No,No,1,0,3
591,5,0.5,Yes,16,6,3746,0.9,90,5,0,892,1603,Yes,Yes,Yes,No,Yes,17,1,3
909,16,0.7,Yes,47,3,1244,0.1,146,14,10,410,1643,Yes,No,No,No,Yes,9,7,0
1423,9,0.6,No,44,5,2253,0.8,131,10,8,501,640,No,No,No,No,No,13,12,1
664,18,1.5,No,6,2,3774,0.9,164,11,5,1076,1472,No,Yes,Yes,No,No,19,5,3
1281,6,2.3,Yes,28,1,1129,0.3,148,12,1,1285,1617,Yes,No,No,No,Yes,6,0,1
1593,13,1,No,52,8,1354,0.7,130,15,13,761,1336,Yes,Yes,Yes,Yes,Yes,0,0,1
1420,17,2.8,Yes,50,8,763,0.1,100,17,1,194,1393,Yes,No,No,Yes,No,8,1,0
739,6,2.3,Yes,58,3,475,0.1,88,7,6,1052,1536,No,Yes,Yes,Yes,Yes,4,2,0
1944,13,0.5,No,36,6,584,0.1,197,17,14,1060,1970,Yes,Yes,Yes,No,Yes,18,5,1
1049,6,0.6,Yes,2,6,433,0.3,172,10,7,39,1564,No,Yes,Yes,No,No,10,8,0
554,4,1.3,No,12,6,3764,0.1,105,10,7,85,806,Yes,No,No,Yes,Yes,10,0,2
1966,20,1.4,Yes,40,8,1185,0.9,185,11,2,1197,1987,Yes,No,No,No,Yes,18,2,2
1576,7,2.2,No,5,3,3904,0.7,139,5,1,258,789,Yes,Yes,No,Yes,Yes,17,8,3
852,20,1.8,Yes,8,5,315,0.8,160,7,6,683,1349,No,Yes,Yes,No,No,9,5,0
594,4,0.8,No,28,5,3087,0.1,132,16,4,1011,1263,Yes,Yes,Yes,Yes,No,3,2,2
1619,16,0.9,No,20,6,464,0.9,117,7,5,813,1180,No,Yes,No,Yes,Yes,9,3,0
1112,20,0.5,Yes,53,4,3655,0.6,121,7,3,234,739,Yes,Yes,No,No,Yes,16,1,3
1547,19,2.9,No,57,1,1620,0.4,114,9,2,347,957,Yes,No,No,Yes,Yes,3,2,1
720,15,1.4,Yes,61,7,2799,0.6,96,5,3,1347,1733,No,Yes,Yes,Yes,Yes,8,0,3
1323,15,2.5,Yes,28,4,1892,0.2,131,10,0,162,619,Yes,Yes,Yes,Yes,Yes,12,10,1
1860,8,2.3,No,23,4,3918,0.6,162,9,2,1362,1506,Yes,No,No,No,Yes,16,15,3
1347,14,0.9,Yes,53,6,3836,0.8,108,15,3,961,1008,No,Yes,Yes,Yes,No,15,8,3
586,10,1.4,Yes,8,8,3178,0.5,142,9,7,116,598,No,Yes,Yes,Yes,No,14,10,2
1371,8,0.5,No,52,4,3034,0.5,167,13,6,471,663,No,No,No,No,No,19,4,2
1620,18,2.2,Yes,30,3,606,0.2,185,6,0,832,1033,No,Yes,Yes,No,Yes,3,0,0
899,10,2.7,No,53,4,2870,0.3,192,19,16,641,1638,No,Yes,Yes,Yes,Yes,11,3,2
911,17,2.9,No,46,5,363,0.1,181,9,5,461,670,Yes,No,No,No,Yes,1,0,0
687,8,1.3,No,50,4,3416,0.6,151,14,6,584,1151,Yes,Yes,Yes,No,Yes,20,9,3
1546,9,0.5,Yes,6,1,3521,0.2,101,15,11,91,1317,No,Yes,Yes,No,Yes,4,3,3
674,4,2.9,Yes,21,3,1180,0.2,198,6,3,576,1809,Yes,Yes,No,Yes,Yes,4,1,0
1240,17,1.6,No,39,2,3260,0.1,146,13,1,1511,1756,No,No,No,Yes,No,9,0,3
1045,12,1.2,Yes,40,6,2137,0.1,175,11,8,1078,1564,No,Yes,Yes,Yes,Yes,7,3,2
644,19,1.3,Yes,30,1,2382,0.5,114,9,0,1140,1654,No,Yes,Yes,Yes,Yes,16,7,2
1151,13,2.9,Yes,31,8,2377,0.6,128,18,8,1022,1560,Yes,No,No,No,Yes,1,0,2
1836,5,2.1,Yes,30,7,3072,0.2,184,7,3,276,1230,Yes,Yes,Yes,No,Yes,15,0,3
955,9,0.5,Yes,43,5,1432,0.9,143,12,9,1248,1511,Yes,Yes,No,Yes,No,8,4,1
1197,4,1.3,No,20,6,1797,0.5,149,19,5,649,1629,Yes,Yes,Yes,Yes,No,7,3,1
913,18,1.7,Yes,41,1,2278,0.3,103,15,3,431,1144,Yes,Yes,Yes,No,No,14,1,1
1077,6,2.5,Yes,45,3,1965,1,174,6,2,897,1304,Yes,Yes,Yes,No,No,4,0,1
1520,4,0.5,No,24,5,3233,0.7,199,13,3,109,1909,No,Yes,Yes,Yes,No,8,1,3
865,14,2.9,No,16,4,3494,0.1,89,13,3,335,1009,No,No,No,Yes,No,12,5,3
879,2,2.5,No,14,6,349,0.7,83,16,10,403,1105,No,Yes,Yes,Yes,Yes,15,11,0
1068,6,0.7,Yes,51,4,550,0.5,124,12,8,1405,1910,Yes,Yes,No,No,No,15,9,0
1602,17,0.6,No,58,1,3622,0.4,170,17,2,1259,1746,Yes,No,No,Yes,No,13,12,3
1559,15,1.3,Yes,10,8,2203,0.3,114,7,5,117,681,Yes,Yes,Yes,Yes,Yes,17,10,1
989,10,1.8,Yes,55,1,1737,0.7,124,8,5,46,1069,No,Yes,Yes,Yes,Yes,12,4,1
1325,2,1.9,No,50,1,2328,0.1,146,17,10,499,695,No,Yes,No,No,No,10,2,2
1549,15,0.5,No,8,5,1998,0.4,158,12,7,721,1514,Yes,Yes,No,No,Yes,7,4,2
1673,10,2.8,Yes,9,3,3669,0.1,187,9,1,65,734,No,Yes,No,Yes,No,10,7,3
1604,20,1.9,Yes,63,5,1464,0.6,93,15,9,641,1156,Yes,Yes,Yes,No,Yes,2,0,1
1063,5,2.5,No,31,6,961,0.9,95,16,6,295,935,Yes,Yes,Yes,No,Yes,10,0,0
628,14,1.8,No,60,6,1337,0.2,87,12,7,1047,1534,Yes,No,No,No,Yes,6,5,1
1591,20,2.2,No,49,6,3703,0.4,154,17,6,1384,1883,Yes,Yes,Yes,No,Yes,7,3,3
528,6,1.7,No,6,2,3256,0.8,142,9,8,574,637,Yes,Yes,Yes,No,No,15,12,2
1725,4,1.6,Yes,6,2,3429,0.5,119,6,5,609,1307,Yes,Yes,Yes,No,Yes,18,6,3
725,15,1.3,Yes,60,8,1326,0.4,160,10,4,1134,1249,No,Yes,No,No,No,17,16,1
1648,6,0.7,No,64,4,610,0.8,170,8,1,1153,1876,Yes,Yes,Yes,No,No,9,6,1
1224,13,1.6,No,33,1,3796,1,157,10,5,522,563,Yes,Yes,No,No,Yes,18,9,3
928,5,0.5,Yes,56,8,666,0.7,80,19,10,221,1243,Yes,No,No,No,Yes,13,11,0
1271,20,1.5,Yes,2,1,892,0.9,161,15,13,1260,1788,Yes,No,No,No,No,1,0,1
1656,20,1.6,Yes,16,7,2856,1,117,14,3,320,899,Yes,Yes,No,Yes,Yes,2,0,2
1572,10,0.8,Yes,8,5,3461,0.8,169,6,3,577,1237,Yes,Yes,Yes,Yes,Yes,8,7,3
1582,10,2.8,No,44,6,3890,0.5,112,17,10,1486,1797,Yes,Yes,Yes,Yes,No,13,2,3
548,8,1,Yes,56,4,562,0.4,146,17,14,657,1657,Yes,Yes,Yes,Yes,No,14,0,0
1164,3,1,No,19,8,3309,0.9,95,15,3,729,1704,No,Yes,Yes,Yes,No,18,4,3
1982,14,1.6,No,12,5,1824,0.2,80,13,3,287,593,Yes,Yes,Yes,Yes,Yes,20,2,1
1823,19,2.8,Yes,10,8,1812,0.6,81,5,0,362,1250,Yes,Yes,No,Yes,No,19,11,2
553,8,2.4,Yes,8,7,1204,0.5,121,11,4,325,902,Yes,Yes,Yes,Yes,No,3,1,0
855,8,0.5,No,59,2,1875,0.5,159,16,8,1028,1196,Yes,Yes,Yes,Yes,Yes,3,2,1
748,7,1.7,No,27,8,2126,0.9,150,18,9,450,1554,No,Yes,Yes,No,Yes,4,0,1
866,2,0.5,Yes,46,8,3825,0.5,179,12,11,692,1686,Yes,Yes,Yes,Yes,No,7,5,3
1023,7,0.7,No,63,7,3155,0.7,153,11,10,367,1985,Yes,Yes,Yes,Yes,Yes,8,2,3
652,9,0.5,Yes,58,3,565,0.6,142,18,12,464,781,No,No,No,Yes,No,2,1,0
663,2,0.8,Yes,25,2,3176,0.6,183,6,2,82,1605,No,Yes,No,Yes,No,1,0,2
755,16,2.8,No,51,4,2734,0.3,186,10,1,315,990,No,Yes,Yes,Yes,Yes,12,5,2
1558,12,2.4,No,27,1,3598,0.1,146,9,2,120,1409,No,Yes,Yes,Yes,Yes,1,0,3
1876,18,2.8,Yes,56,3,3021,0.4,182,12,2,235,585,No,Yes,Yes,No,No,4,3,2
1342,10,1,No,31,7,2746,0.6,86,15,5,991,1638,Yes,Yes,Yes,No,No,1,0,3
1034,7,2.6,Yes,45,3,969,0.3,190,15,1,182,1293,No,Yes,Yes,No,No,4,2,0
1306,16,2.1,Yes,33,3,2521,0.4,174,6,5,867,1258,No,Yes,Yes,No,Yes,9,2,2
1011,16,1.1,No,36,7,2261,0.2,131,7,6,481,749,Yes,Yes,Yes,Yes,No,18,4,1
1056,3,2.1,Yes,37,3,2651,0.7,101,15,5,914,979,Yes,Yes,Yes,Yes,Yes,11,8,2
1208,12,2.9,No,16,1,2201,1,175,17,16,691,1028,No,Yes,Yes,No,No,19,5,1
1934,2,2.6,Yes,46,1,2940,0.1,103,13,9,619,1299,Yes,Yes,Yes,Yes,Yes,17,0,3
1062,11,0.5,No,39,4,1345,0.9,124,16,0,571,817,No,Yes,Yes,Yes,No,4,3,0
1481,16,0.7,Yes,37,5,2945,0.6,96,10,5,116,1533,Yes,Yes,Yes,Yes,Yes,13,4,2
1776,20,2.1,Yes,35,4,1813,0.1,172,16,13,278,623,Yes,Yes,No,Yes,Yes,16,10,1
1892,3,0.7,No,47,4,2172,0.4,110,17,14,1399,1564,Yes,Yes,No,Yes,Yes,10,5,2
627,14,1.8,No,20,3,896,0.8,142,17,6,211,507,No,No,No,No,No,8,2,0
920,2,0.5,No,46,3,2608,0.8,149,6,0,1058,1421,No,No,No,Yes,Yes,3,2,2
1694,2,0.6,No,34,7,2298,0.3,102,17,5,377,549,Yes,Yes,Yes,No,Yes,7,0,2
1149,8,2.2,No,30,6,3755,0.2,106,17,14,1617,1675,No,Yes,No,No,Yes,5,4,3
504,2,2.8,Yes,54,2,2378,0.4,163,17,11,1207,1539,No,Yes,No,No,Yes,10,2,2
1109,17,2.1,No,34,1,2821,0.1,173,13,5,165,1103,No,Yes,No,Yes,No,4,1,2
1837,20,1,Yes,12,8,2294,0.9,103,8,7,1420,1539,No,Yes,Yes,Yes,No,6,5,3
1320,14,2.1,Yes,41,7,542,0.6,144,11,1,123,1229,Yes,Yes,Yes,No,No,2,0,0
543,5,0.5,Yes,60,5,933,0.7,132,14,0,693,1031,Yes,Yes,Yes,No,Yes,7,4,0
589,6,0.5,No,59,8,362,0.7,146,16,10,759,1858,Yes,Yes,Yes,Yes,Yes,4,1,0
1504,7,1.5,No,34,8,2806,0.7,142,7,2,507,973,No,Yes,Yes,Yes,No,15,12,2
1125,12,2.7,No,23,1,1641,0.4,117,14,8,774,939,Yes,Yes,No,No,Yes,14,10,1
1134,19,0.9,No,13,4,3632,0.4,92,17,8,18,903,Yes,Yes,Yes,No,Yes,19,2,3
1766,16,0.5,Yes,22,8,3297,0.8,122,7,5,291,1318,No,Yes,Yes,No,Yes,4,1,3
1747,10,0.5,No,13,6,3105,0.7,185,7,1,800,873,No,Yes,No,No,No,12,4,3
1021,14,1.3,No,9,2,1355,0.7,192,6,1,901,1793,Yes,Yes,No,No,No,12,7,1
587,14,2.3,Yes,6,1,2777,0.7,170,9,2,612,1793,Yes,Yes,No,No,Yes,16,4,2
1807,13,2.1,No,49,1,1906,0.8,125,17,13,337,1384,Yes,No,No,Yes,Yes,10,2,2
1655,12,0.5,Yes,4,3,673,0.1,105,10,3,626,1348,No,Yes,Yes,No,Yes,12,6,0
1602,20,2.8,Yes,38,3,1037,0.7,114,8,7,466,788,No,Yes,Yes,No,Yes,20,4,0
793,3,1.9,Yes,43,8,1050,0.3,124,11,9,15,1196,Yes,Yes,Yes,Yes,Yes,2,0,0
1631,13,0.9,Yes,3,7,301,0.1,198,13,5,177,1905,No,Yes,Yes,No,No,12,2,0
1104,3,1.7,No,60,2,1229,0.4,199,6,0,653,1413,Yes,Yes,Yes,Yes,No,13,1,0
574,19,3,No,30,2,1167,0.9,126,5,3,94,1334,No,Yes,Yes,No,Yes,3,1,0
722,3,1.1,No,12,6,2359,1,93,13,6,138,1371,No,No,No,No,No,20,12,1
1093,4,1.9,Yes,22,8,1869,0.3,196,8,5,238,807,Yes,Yes,Yes,Yes,No,14,2,1
1862,9,1.5,No,62,1,1017,1,182,11,3,386,1046,No,Yes,No,No,No,2,1,1
1158,15,0.7,Yes,29,2,1542,0.7,123,17,9,311,1796,No,Yes,Yes,Yes,No,20,1,1
638,9,1.7,Yes,27,4,2735,0.5,102,7,2,1171,1383,Yes,Yes,No,No,No,17,11,2
